category,filename,jitter,shimmer,HNR,nVB,perVB,med,mean,std,min,max,total_duration,speaking_rate,articulation_rate,PCT,PCC,PCV,vowel_space,VAI,FCR,F2,0,1,2,3,4,5,6,7,8,9,10,11,12
3,M0020_CS_0004,1.33,8.8,18.85,15,53.58,344.81,336.4,104.51,74.23,615.39,13.81,1.38,1.45,14.2857143,23.8095238,0,115466.8412,0.783436118,1.276428259,1.913860992,-776.41,66.16,-1.81,24.57,-0.51,8.31,5.18,-2.18,0.39,-2.12,-4.5,-1.27,2.52
3,M0020_CS_1001,0.89,6.21,19.7,21,63.94,355.57,355.39,56.58,95.38,532.78,18.19,0.93,0.99,7.1428571,7.6923077,6.25,114260.1176,0.782945484,1.277228134,1.913336917,-774.35,63.94,-5.8,24.24,3.98,12.3,2.55,-1.7,1.6,-2.06,-3.77,-0.38,6.01
3,M0020_CS_1002,1.25,8.53,19,18,38.56,342.52,342.83,57.75,211.73,622.91,13,1,1.08,12.195122,12.5,11.7647059,113953.58,0.782252833,1.278359065,1.911329575,-764.86,73.08,-0.1,28.11,2.07,11.43,7.67,0.69,0.78,1.49,0.21,-2.77,3.04
3,M0020_CS_1003,1.84,8.5,17.64,16,72.78,342.62,351.01,116,93.77,624.68,22.24,0.85,0.9,2.5641026,4.5454545,0,113804.0843,0.781635403,1.279368867,1.90881429,-804.81,51.81,0.22,22.93,6.92,12.4,6,-1.08,0.89,2.41,-0.48,-0.74,1.27
3,M0020_CS_1004,1.49,9.44,19.75,13,53.45,339.17,341.95,69.47,96.26,580.19,14.94,1.41,1.47,14.2857143,14.2857143,14.2857143,113804.0843,0.781635403,1.279368867,1.90881429,-783,59.77,-2.47,26.77,1.07,7.93,3.62,-0.74,3.25,-1.43,-3.52,-0.75,3.08
3,M0035_CS_0001,2,5.77,18.52,14,40.31,286.84,267.73,34.08,88.58,366.48,13.95,1.22,1.29,7.1428571,3.8461538,12.5,111815.2489,0.782680033,1.277661314,1.904419451,-683.14,122.29,-10.86,19.75,7.14,8.82,-3.03,6.28,-8.34,-5.4,2.32,0.36,0.76
3,M0035_CS_1001,1.75,5.97,16.91,14,42.07,288.04,265.76,32.52,80.19,401.93,13.93,1.22,1.29,7.1428571,3.8461538,12.5,111185.9329,0.782038279,1.278709786,1.90226434,-662.8,131.96,-15.15,23.75,11.97,5.39,-5.28,8.96,-6.51,-0.15,3.34,0.64,1.47
3,M0035_CS_1004,2.05,6.36,17.89,11,25.16,272.6,269.06,28.98,76.84,622.23,10.97,1.91,2.01,0,0,0,111097.9583,0.781810931,1.279081631,1.900695814,-621.8,140.41,-29.61,19.09,1.87,3.28,-9.82,3.74,-15.06,-0.77,4.42,0.99,0.93
3,M0055_CS_0001,2.82,8.48,15.94,17,52.89,245.19,248.29,42.24,72.38,602.04,14.24,1.19,1.26,16.6666667,15.3846154,18.75,109525.9644,0.782164349,1.278503682,1.897880688,-781.38,65.38,5.29,26.45,3.01,10.38,-2.56,-2.49,1.7,-0.41,3.28,1.43,1.19
3,M0055_CS_0002,4.35,14.76,13.56,14,70.22,219.51,275.77,28.38,89.99,610.55,14.32,0.91,0.98,29.2682927,29.1666667,29.4117647,109075.9702,0.781767482,1.279152719,1.897490848,-850.49,38.36,9.98,12.33,2.92,5.41,1.93,0.14,2.59,-0.65,0.79,1.88,1.74
3,M0055_CS_0003,5.25,17.21,10.51,13,69.46,217.27,297.34,56.01,87.68,587.35,10.95,1.55,1.64,12.8205128,9.0909091,17.6470588,108920.6897,0.781640034,1.279361288,1.897942496,-838.36,42.59,6.75,13.24,1.06,3.05,0.21,-1.48,0.46,-0.63,1.54,0.43,2.8
3,M0055_CS_0004,5.02,26.33,8.77,8,48.41,313.11,310.83,62.31,71.84,650.24,8.61,2.44,2.55,5.7142857,4.7619048,7.1428571,108920.6897,0.781640034,1.279361288,1.897942496,-812.87,63.17,14.42,16.1,2.81,11.1,5.33,0.9,3.14,5.26,4.39,0.61,3.34
3,M0055_CS_1001,4.71,15.57,10.69,14,63.91,200.74,267.75,27.74,75.88,618.78,11.56,1.64,1.73,23.8095238,23.0769231,25,109134.7316,0.781843021,1.279029132,1.899462312,-819.52,56.25,14.82,20.96,6.34,10.71,2.65,0.05,2.36,2,1.94,-0.05,1.91
3,M0055_CS_1002,4.29,14.11,14.12,11,62.41,223.92,260.73,25.37,75.28,603.86,13.03,1.15,1.23,34.1463415,37.5,29.4117647,108838.555,0.781913256,1.278914244,1.900943537,-852.72,38.46,11.86,12.75,-0.42,0.23,0.99,-1.98,0.56,1.88,1.32,0.52,1.92
